codigo_producto,item_nombre,frecuencia_venta,promedio_diario,unidades_totales,precio_carta,costos,q_insumos,margen,categoria
2000009,PISCO SOUR DE ARÁNDANOS,0.097,0.226,7,23.0,2.4459965877,6.0,20.5540034123,BEBIDA_INDIVIDUAL_ALC
2000012,PISCO SOUR DE FRESA,0.097,0.129,4,23.0,2.480249861755,6.0,20.519750138245,BEBIDA_INDIVIDUAL_ALC
2000018,CHILCANO EL CLÁSICO,0.065,0.065,2,22.0,2.2827435379333334,7.0,19.717256462066665,BEBIDA_INDIVIDUAL_ALC
2000019,CHILCANO DE FINAS HIERBAS,0.065,0.065,2,22.0,2.4103834796133334,7.0,19.589616520386667,BEBIDA_INDIVIDUAL_ALC
2000022,CHILCANO DE FRESA,0.032,0.032,1,22.0,2.3411219874253333,7.0,19.658878012574668,BEBIDA_INDIVIDUAL_ALC
2000028,GIN TONIC,0.065,0.258,8,25.0,3.823106666666667,6.0,21.176893333333332,BEBIDA_INDIVIDUAL_ALC
2000043,SANTIAGO QUEIROLO BORGOÑA,0.097,0.129,4,48.0,13.0,1.0,35.0,BEBIDA_COMPARTIR_ALC
2000045,SANTIAGO QUEIROLO MAGDALENA,0.032,0.032,1,48.0,13.0,1.0,35.0,BEBIDA_COMPARTIR_ALC
2000047,TACAMA GRAN TINTO,0.032,0.065,2,90.0,24.5,1.0,65.5,BEBIDA_COMPARTIR_ALC
2000053,FRONTERA CABERNET SAUVIGNON,0.032,0.032,1,60.0,45.0,1.0,15.0,BEBIDA_COMPARTIR_ALC
2000057,SANGRÍA CLÁSICA VASO,0.097,0.097,3,19.0,2.1824178681,7.0,16.8175821319,BEBIDA_INDIVIDUAL_ALC
2000067,LIMONADA ELÉCTRICA VASO,0.097,0.129,4,11.0,1.2091874023,5.0,9.7908125977,BEBIDA_INDIVIDUAL_NO_ALC
2000086,COCA COLA 296 ML,0.935,4.29,133,4.0,1.24,1.0,2.76,BEBIDA_INDIVIDUAL_NO_ALC
2000091,AGUA SIN GAS,1.0,4.194,130,5.0,1.19,1.0,3.81,BEBIDA_INDIVIDUAL_NO_ALC
2000092,AGUA CON GAS,0.581,1.194,37,5.0,1.38,1.0,3.62,BEBIDA_INDIVIDUAL_NO_ALC
2000093,CAPUCCINO CLÁSICO,0.065,0.065,2,11.0,6.943695569620253,3.0,4.056304430379747,BEBIDA_INDIVIDUAL_NO_ALC
2000094,CAPUCCINO CREMA,0.032,0.032,1,12.0,8.027455569620253,4.0,3.972544430379747,BEBIDA_INDIVIDUAL_NO_ALC
2000096,AMERICANO,0.29,0.452,14,8.0,8.4834,2.0,-0.4833999999999996,BEBIDA_INDIVIDUAL_NO_ALC
2000100,INFUSIONES CLÁSICAS,1.0,8.645,268,5.0,0.1217,2.0,4.8783,BEBIDA_INDIVIDUAL_NO_ALC
2000101,INFUSIÓN VIKINGAS,0.839,2.129,66,12.0,1.61263,3.0,10.38737,BEBIDA_INDIVIDUAL_NO_ALC
2000102,CHOP GREEN VIKINGA,0.677,1.323,41,23.0,10.153786666666667,3.0,12.846213333333333,BEBIDA_INDIVIDUAL_ALC
2000103,CHOP CLÁSICA,0.129,0.129,4,21.0,9.03,2.0,11.97,BEBIDA_INDIVIDUAL_ALC
2000104,CUSQUEÑA NEGRA - 630 ML,0.452,0.839,26,16.0,5.15,1.0,10.85,BEBIDA_COMPARTIR_NO_ALC
2000105,CUSQUEÑA NEGRA - 330 ML,0.226,0.355,11,12.0,1.91,1.0,10.09,BEBIDA_INDIVIDUAL_ALC
2000106,CUSQUEÑA TRIGO - 630 ML,0.452,1.161,36,16.0,5.64,1.0,10.36,BEBIDA_COMPARTIR_NO_ALC
2000129,BRAND ESPADA,0.032,0.032,1,26.0,3.076176488003,6.0,22.923823511997,BEBIDA_INDIVIDUAL_ALC
2000106,CUSQUEÑA TRIGO - 630 ML ,0.097,0.161,5,16.0,5.64,1.0,10.36,BEBIDA_COMPARTIR_NO_ALC
2000107,CUSQUEÑA TRIGO - 330 ML,0.29,0.677,21,12.0,4.12,1.0,7.88,BEBIDA_INDIVIDUAL_ALC
2000108,CUSQUEÑA DORADA - 630 ML,0.452,1.161,36,16.0,6.04,1.0,9.96,BEBIDA_COMPARTIR_ALC
2000109,CUSQUEÑA DORADA - 330 ML,0.097,0.323,10,12.0,3.92,1.0,8.08,BEBIDA_INDIVIDUAL_ALC
2000111,CORONA - 355 ML,0.29,0.839,26,12.0,3.88,1.0,8.120000000000001,BEBIDA_INDIVIDUAL_ALC
2000112,PILSEN - 630 ML,0.548,2.968,92,13.0,5.58,1.0,7.42,BEBIDA_COMPARTIR_ALC
2000113,PILSEN - 355 ML,0.387,1.032,32,10.0,3.45,1.0,6.55,BEBIDA_INDIVIDUAL_ALC
2000114,STELLA ARTOIS,0.258,0.581,18,12.0,4.48,1.0,7.52,BEBIDA_INDIVIDUAL_ALC
2000116,SANGRÍA VIKINGA JARRA,0.484,0.903,28,38.0,7.268729334766666,8.0,30.731270665233332,BEBIDA_COMPARTIR_ALC
2000116,SANGRIA VIKINGA JARRA,0.129,0.161,5,38.0,7.268729334766666,8.0,30.731270665233332,BEBIDA_COMPARTIR_ALC
2000117,SANGRÍA VIKINGA VASO,0.129,0.129,4,20.0,3.7093712681,8.0,16.2906287319,BEBIDA_INDIVIDUAL_ALC
2000118,CORTESIA  ,1.0,57.355,1778,0.0,2.9102954666666667,6.0,-2.9102954666666667,CORTESIA
2000118,CORTESIA,1.0,34.032,1055,0.0,2.9102954666666667,6.0,-2.9102954666666667,CORTESIA
2000127,ARI ÁGUILA,0.871,2.032,63,28.0,4.335767658285,10.0,23.664232341715,BEBIDA_INDIVIDUAL_ALC
2000128,ASGEIR LANZA DE DIOS,0.065,0.065,2,26.0,3.4211511404334,7.0,22.578848859566598,BEBIDA_INDIVIDUAL_ALC
2000130,EINAR LIDER GUERRERO,0.129,0.194,6,27.0,3.235388608429104,5.0,23.764611391570895,BEBIDA_INDIVIDUAL_ALC
2000131,EIRICK GOBERNANTE ETERNO,0.065,0.065,2,26.0,3.294754326238,6.0,22.705245673762,BEBIDA_INDIVIDUAL_ALC
2000132,GUDRUN AMADO POR LOS DIOSES,0.032,0.032,1,25.0,10.6516179407537,4.0,14.3483820592463,BEBIDA_INDIVIDUAL_ALC
2000133,HELGAR SANTO,0.032,0.097,3,26.0,3.9529208353128,5.0,22.0470791646872,BEBIDA_INDIVIDUAL_ALC
2000137,PORTAL DEL TIEMPO BORGOÑA,0.065,0.065,2,49.0,15.19,1.0,33.81,BEBIDA_COMPARTIR_ALC
2000139,SPARKLINGS DE PIÑA,0.452,0.774,24,15.0,2.7948353954666665,8.0,12.205164604533334,BEBIDA_INDIVIDUAL_NO_ALC
2000140,SPARKLINGS DE NARANJA,0.484,0.581,18,15.0,2.2528636734,7.0,12.7471363266,BEBIDA_INDIVIDUAL_NO_ALC
2000141,LIMONADA VALQUIRIA JARRA,0.452,0.968,30,23.0,3.572551514752432,6.0,19.427448485247567,BEBIDA_COMPARTIR_NO_ALC
2000142,LIMONADA VALQUIRIA VASO,0.097,0.097,3,12.0,3.857019692780256,6.0,8.142980307219744,BEBIDA_INDIVIDUAL_NO_ALC
2000143,LIMONADA FREYA JARRA,0.323,0.452,14,23.0,8.8749812289224,6.0,14.1250187710776,BEBIDA_COMPARTIR_NO_ALC
2000144,LIMONADA FREYA VASO,0.097,0.097,3,12.0,1.4906969074392,6.0,10.509303092560799,BEBIDA_INDIVIDUAL_NO_ALC
2000145,AMOR FRIO,0.452,0.774,24,25.0,2.4405253333333334,4.0,22.559474666666667,BEBIDA_INDIVIDUAL_ALC
3000000,PARRILLA VALQUIRIA + GASEOSA 1 LT,0.258,0.452,14,90.0,30.174976908,11.0,59.825023091999995,PROMOCIONES_REDES
3000001,SHOT ANIS NAJAR,0.032,0.032,1,8.0,2.6026,1.0,5.3974,BEBIDA_INDIVIDUAL_ALC
3000006,PROMO CÓCTEL CHILCANO (3x2),0.645,1.71,53,44.0,6.3132022,6.0,37.6867978,PROMOCIONES_REDES
3000007,PROMO CÓCTEL MOJITO (3x2),0.484,0.935,29,44.0,4.879875,1.0,39.120125,PROMOCIONES_REDES
3000008,PISCO SOUR CUMPLEAÑERA,0.613,1.258,39,0.0,2.8197216,6.0,-2.8197216,CORTESIA
3000008,PISCO SOUR CUMPLEAÑERA					,0.097,0.097,3,0.0,2.8197216,6.0,-2.8197216,CORTESIA
3000009,PIÑA COLADA CUMPLEAÑERA,0.871,2.484,77,0.0,2.595909228691983,7.0,-2.595909228691983,CORTESIA
3000042,PARRILLA VIKINGA + JARRA DE CHICHA,0.677,2.581,80,130.0,46.79,2.0,83.21000000000001,PROMOCIONES_REDES
3000043,2 HAMBURGUESA CLÁSICA,0.065,0.065,2,34.9,14.2,1.0,20.7,PROMOCIONES_REDES
3000044,2 SALCHIPAPA CLÁSICA,0.097,0.097,3,29.9,15.82,1.0,14.079999999999998,PROMOCIONES_REDES
3000068,PROMO TRIO CRIOLLO,0.29,0.323,10,99.9,23.65,3.0,76.25,PROMOCIONES_REDES
